TIME;VP;SC
883.23;2633;1000
886.224;2626;1000
889.218;2614;1000
892.212;2625;1000
895.206;2613;1000
898.2;2628;1000
901.194;2624;1000
904.188;2625;1000
907.182;2638;1000
910.176;2641;1000
913.17;2644;1000
916.164;2646;1000
919.158;2645;1000
922.152;2650;1000
925.146;2665;1000
928.14;2652;1000
931.134;2660;1000
934.128;2647;1000
937.122;2654;1000
940.116;2659;1000
943.11;2658;1000
946.104;2651;1000
949.098;2659;1000
952.092;2657;1000
955.086;2664;1000
958.08;2662;1000
961.074;2657;1000
964.068;2675;1000
967.062;2672;1000
970.056;2670;1000
973.05;2670;1000
976.044;2670;1000
979.038;2669;1000
982.032;2657;1000
985.026;2662;1000
988.02;2672;1000
991.014;2662;1000
994.008;2671;1000
997.002;2681;1000
999.996;2682;1000
1002.99;2689;1000
1005.984;2685;1000
1008.978;2690;1000
1011.972;2695;1000
1014.966;2699;1000
1017.96;2689;1000
1020.954;2689;1000
1023.948;2681;1000
1026.942;2682;1000
1029.936;2690;1000
1032.93;2676;1000
1035.924;2678;1000
1038.918;2687;1000
1041.912;2678;1000
1044.906;2680;1000
1047.9;2681;1000
1050.894;2686;1000
1053.888;2687;1000
1056.882;2689;1000
1059.876;2693;1000
1062.87;2699;1000
1065.864;2700;1000
1068.858;2700;1000
1071.852;2689;1000
1074.846;2695;1000
1077.84;2693;1000
1080.834;2695;1000
1083.828;2694;1000
1086.822;2689;1000
1089.816;2697;1000
1092.81;2698;1000
1095.804;2704;1000
1098.798;2705;1000
1101.792;2713;1000
1104.786;2712;1000
1107.78;2697;1000
1110.774;2697;1000
1113.768;2691;1000
1116.762;2694;1000
1119.756;2694;1000
1122.75;2702;1000
1125.744;2699;1000
1128.738;2705;1000
1131.732;2714;1000
1134.726;2714;1000
1137.72;2713;1000
1140.714;2718;1000
1143.708;2715;1000
1146.702;2705;1000
1149.696;2705;1000
1152.69;2707;1000
1155.684;2712;1000
1158.678;2705;1000
1161.672;2709;1000
1164.666;2704;1000
1167.66;2709;1000
1170.654;2712;1000
1173.648;2726;1000
1176.642;2718;1000
1179.636;2738;1000
1182.63;2727;1000
1185.624;2727;1000
1188.618;2721;1000
1191.612;2719;1000
1194.606;2725;1000
1197.6;2731;1000
1200.594;2729;1000
1203.588;2735;1000
1206.582;2733;1000
1209.576;2730;1000
1212.57;2729;1000
1215.564;2730;1000
1218.558;2721;1000
1221.552;2726;1000
1224.546;2746;1000
1227.54;2739;1000
1230.534;2745;1000
1233.528;2749;1000
1236.522;2738;1000
1239.516;2721;1000
1242.51;2731;1000
1245.504;2737;1000
1248.498;2741;1000
1251.492;2740;1000
1254.486;2754;1000
1257.48;2754;1000
1260.474;2734;1000
1263.468;2735;1000
1266.462;2734;1000
1269.456;2741;1000
1272.45;2742;1000
1275.444;2749;1000
1278.438;2750;1000
1281.432;2752;1000
1284.426;2764;1000
1287.42;2756;1000
1290.414;2760;1000
1293.408;2768;1000
1296.402;2772;1000
1299.396;2763;1000
1302.39;2757;1000
