Intervalo,VP,SP,SC
175.908,3698,3684,4569
176.73,3699,3684,4568
177.552,3699,3684,4568
178.374,3700,3684,4566
179.196,3700,3684,4566
180.018,3700,3684,4566
180.84,3701,3684,4565
181.662,3700,3684,4565
182.484,3700,3684,4565
183.306,3709,3684,4565
184.128,3701,3684,4563
184.95,3701,3684,4563
185.772,3701,3684,4563
186.594,3701,3684,4563
187.416,3701,3684,4562
188.238,3701,3684,4562
189.06,3701,3684,4562
189.882,3704,3684,4560
190.704,3702,3684,4560
191.526,3702,3684,4560
192.348,3701,3684,4559
193.17,3701,3684,4559
193.992,3701,3684,4559
194.814,3701,3684,4559
195.636,3701,3684,4559
196.458,3701,3684,4559
197.28,3701,3684,4559
198.102,3705,3684,4556
198.924,3704,3684,4555
199.746,3704,3684,4555
200.568,3703,3684,4555
201.39,3703,3684,4555
202.212,3704,3684,4553
203.034,3704,3684,4553
203.856,3703,3684,4552
204.678,3705,3684,4553
205.5,3703,3684,4553
206.322,3703,3684,4553
207.144,3703,3684,4553
207.966,3706,3684,4553
208.788,3703,3684,4550
209.61,3704,3684,4550
210.432,3704,3684,4551
211.254,3705,3684,4551
212.076,3705,3684,4549
212.898,3706,3684,4548
213.72,3706,3684,4547
214.542,3704,3684,4547
215.364,3706,3684,4547
216.186,3706,3684,4547
217.008,3705,3684,4546
217.83,3707,3684,4545
218.652,3707,3684,4545
219.474,3707,3684,4545
220.296,3706,3684,4544
221.118,3706,3684,4544
221.94,3705,3684,4544
222.762,3705,3684,4544
223.584,3705,3684,4544
224.406,3705,3684,4544
225.228,3705,3684,4542
226.05,3706,3684,4542
226.872,3704,3684,4542
227.694,3704,3684,4542
228.516,3700,3684,4541
229.338,3706,3684,4544
230.16,3706,3684,4544
230.982,3705,3684,4541
231.804,3705,3684,4541
232.626,3705,3684,4541
233.448,3703,3684,4539
234.27,3704,3684,4539
235.092,3704,3684,4539
235.914,3704,3684,4539
236.736,3704,3684,4539
237.558,3703,3684,4537
238.38,3703,3684,4537
239.202,3703,3684,4537
240.024,3702,3684,4538
240.846,3702,3684,4537
241.668,3702,3684,4537
242.49,3703,3684,4536
243.312,3703,3684,4536
244.134,3701,3684,4535
244.956,3703,3684,4536
245.778,3701,3684,4534
246.6,3702,3684,4534
247.422,3702,3684,4534
248.244,3702,3684,4534
249.066,3702,3684,4534
249.888,3702,3684,4534
250.71,3701,3684,4534
251.532,3702,3684,4533
252.354,3702,3684,4533
253.176,3702,3684,4533
253.998,3700,3684,4532
254.82,3700,3684,4532
255.642,3701,3684,4532
256.464,3702,3684,4531
257.286,3702,3684,4531
258.108,3702,3684,4531
258.93,3701,3684,4531
259.752,3702,3684,4529
260.574,3703,3684,4529
261.396,3701,3684,4529
262.218,3703,3684,4528
263.04,3702,3684,4528
263.862,3702,3684,4528
264.684,3700,3684,4528
265.506,3700,3684,4528
266.328,3700,3684,4528
267.15,3700,3684,4528
267.972,3701,3684,4528
268.794,3701,3684,4527
269.616,3699,3684,4526
270.438,3699,3684,4527
271.26,3699,3684,4527
272.082,3699,3684,4527
272.904,3699,3684,4527
273.726,3698,3684,4526
274.548,3699,3684,4526
275.37,3697,3684,4527
276.192,3699,3684,4527
277.014,3699,3684,4527
277.836,3699,3684,4525
278.658,3697,3684,4526
279.48,3697,3684,4526
280.302,3698,3684,4524
281.124,3697,3684,4524
281.946,3698,3684,4524
282.768,3698,3684,4524
283.59,3698,3684,4524
284.412,3697,3684,4524
285.234,3698,3684,4524
