Tempo,Valor
2024-09-09 19:19:00,45.511424
2024-09-09 19:19:00,45.511424
2024-09-09 19:19:00,45.511424
2024-09-09 19:19:00,45.316096
2024-09-09 19:19:00,45.316096
2024-09-09 19:19:01,45.316096
2024-09-09 19:19:01,45.316096
2024-09-09 19:19:01,45.316096
2024-09-09 19:19:01,45.316096
2024-09-09 19:19:02,45.316096
2024-09-09 19:19:02,45.316096
2024-09-09 19:19:02,45.316096
2024-09-09 19:19:02,45.316096
2024-09-09 19:19:02,45.316096
2024-09-09 19:19:03,45.316096
2024-09-09 19:19:03,45.316096
2024-09-09 19:19:03,45.316096
2024-09-09 19:19:03,45.316096
2024-09-09 19:19:04,45.316096
2024-09-09 19:19:04,45.316096
2024-09-09 19:19:04,45.316096
2024-09-09 19:19:04,45.316096
2024-09-09 19:19:04,45.41376
2024-09-09 19:19:05,45.41376
2024-09-09 19:19:05,45.41376
2024-09-09 19:19:05,45.41376
2024-09-09 19:19:05,45.41376
2024-09-09 19:19:05,45.41376
2024-09-09 19:19:06,45.41376
2024-09-09 19:19:06,45.41376
2024-09-09 19:19:06,45.41376
2024-09-09 19:19:06,45.41376
2024-09-09 19:19:06,45.316096
2024-09-09 19:19:07,45.316096
2024-09-09 19:19:07,45.316096
2024-09-09 19:19:07,45.316096
2024-09-09 19:19:07,45.316096
2024-09-09 19:19:07,45.316096
2024-09-09 19:19:08,45.316096
2024-09-09 19:19:08,45.316096
2024-09-09 19:19:08,45.316096
2024-09-09 19:19:08,45.316096
2024-09-09 19:19:09,45.316096
2024-09-09 19:19:09,45.316096
2024-09-09 19:19:09,45.316096
2024-09-09 19:19:09,45.316096
2024-09-09 19:19:09,45.316096
2024-09-09 19:19:10,45.316096
2024-09-09 19:19:10,45.316096
2024-09-09 19:19:10,45.316096
2024-09-09 19:19:10,45.316096
2024-09-09 19:19:11,45.316096
2024-09-09 19:19:11,45.316096
2024-09-09 19:19:11,45.316096
2024-09-09 19:19:11,45.316096
2024-09-09 19:19:11,45.316096
2024-09-09 19:19:12,45.316096
2024-09-09 19:19:12,45.316096
2024-09-09 19:19:12,45.316096
2024-09-09 19:19:12,45.316096
2024-09-09 19:19:12,45.316096
2024-09-09 19:19:13,45.316096
2024-09-09 19:19:13,45.316096
2024-09-09 19:19:13,45.316096
2024-09-09 19:19:13,45.316096
2024-09-09 19:19:14,45.316096
2024-09-09 19:19:14,45.316096
2024-09-09 19:19:14,45.316096
2024-09-09 19:19:14,45.316096
2024-09-09 19:19:15,45.316096
2024-09-09 19:19:15,45.316096
2024-09-09 19:19:15,45.316096
2024-09-09 19:19:15,45.316096
2024-09-09 19:19:15,45.316096
2024-09-09 19:19:16,45.316096
2024-09-09 19:19:16,45.316096
2024-09-09 19:19:16,45.316096
2024-09-09 19:19:16,45.316096
2024-09-09 19:19:17,45.316096
2024-09-09 19:19:17,45.316096
2024-09-09 19:19:17,45.316096
2024-09-09 19:19:17,45.316096
2024-09-09 19:19:17,45.316096
2024-09-09 19:19:18,45.316096
2024-09-09 19:19:18,45.316096
2024-09-09 19:19:18,45.218432
2024-09-09 19:19:18,45.218432
2024-09-09 19:19:18,45.218432
2024-09-09 19:19:19,45.218432
2024-09-09 19:19:19,45.218432
2024-09-09 19:19:19,45.218432
2024-09-09 19:19:19,45.218432
2024-09-09 19:19:20,45.218432
2024-09-09 19:19:20,45.218432
2024-09-09 19:19:20,45.218432
2024-09-09 19:19:20,45.218432
2024-09-09 19:19:20,45.218432
2024-09-09 19:19:21,45.218432
