Nome do data point,Tempo,Valor,Processado,Comentario
uno - SP,2024-09-09 19:10:18,49.417984,49.417984,
uno - SP,2024-09-09 19:10:19,46.097408,46.097408,
uno - SP,2024-09-09 19:10:19,49.027328,49.027328,
uno - SP,2024-09-09 19:10:19,49.222656,49.222656,
uno - SP,2024-09-09 19:10:19,46.3904,46.3904,
uno - SP,2024-09-09 19:10:19,45.999744,45.999744,
uno - SP,2024-09-09 19:10:20,48.539008,48.539008,
uno - SP,2024-09-09 19:10:20,46.195072,46.195072,
uno - SP,2024-09-09 19:10:20,50.394624,50.394624,
uno - SP,2024-09-09 19:10:20,45.90208,45.90208,
uno - SP,2024-09-09 19:10:21,49.417984,49.417984,
uno - SP,2024-09-09 19:10:21,45.999744,45.999744,
uno - SP,2024-09-09 19:10:21,49.906304,49.906304,
uno - SP,2024-09-09 19:10:21,45.804416,45.804416,
uno - SP,2024-09-09 19:10:22,45.999744,45.999744,
uno - SP,2024-09-09 19:10:22,51.2736,51.2736,
uno - SP,2024-09-09 19:10:22,45.804416,45.804416,
uno - SP,2024-09-09 19:10:23,45.999744,45.999744,
uno - SP,2024-09-09 19:10:23,50.199296,50.199296,
uno - SP,2024-09-09 19:10:23,45.804416,45.804416,
uno - SP,2024-09-09 19:10:23,48.734336,48.734336,
uno - SP,2024-09-09 19:10:23,46.195072,46.195072,
uno - SP,2024-09-09 19:10:24,48.832,48.832,
uno - SP,2024-09-09 19:10:24,47.074048,47.074048,
uno - SP,2024-09-09 19:10:24,50.29696,50.29696,
uno - SP,2024-09-09 19:10:24,45.804416,45.804416,
uno - SP,2024-09-09 19:10:25,49.613312,49.613312,
uno - SP,2024-09-09 19:10:25,46.097408,46.097408,
uno - SP,2024-09-09 19:10:25,49.710976,49.710976,
uno - SP,2024-09-09 19:10:25,45.999744,45.999744,
uno - SP,2024-09-09 19:10:26,48.832,48.832,
uno - SP,2024-09-09 19:10:26,46.195072,46.195072,
uno - SP,2024-09-09 19:10:26,46.683392,46.683392,
uno - SP,2024-09-09 19:10:26,45.804416,45.804416,
uno - SP,2024-09-09 19:10:26,49.906304,49.906304,
uno - SP,2024-09-09 19:10:27,45.804416,45.804416,
uno - SP,2024-09-09 19:10:27,50.199296,50.199296,
uno - SP,2024-09-09 19:10:27,46.195072,46.195072,
uno - SP,2024-09-09 19:10:27,48.246016,48.246016,
uno - SP,2024-09-09 19:10:28,45.609088,45.609088,
uno - SP,2024-09-09 19:10:28,46.488064,46.488064,
uno - SP,2024-09-09 19:10:28,45.90208,45.90208,
uno - SP,2024-09-09 19:10:28,45.999744,45.999744,
uno - SP,2024-09-09 19:10:28,49.222656,49.222656,
uno - SP,2024-09-09 19:10:29,46.097408,46.097408,
uno - SP,2024-09-09 19:10:29,49.027328,49.027328,
uno - SP,2024-09-09 19:10:29,45.999744,45.999744,
uno - SP,2024-09-09 19:10:29,50.29696,50.29696,
uno - SP,2024-09-09 19:10:30,49.32032,49.32032,
uno - SP,2024-09-09 19:10:30,46.097408,46.097408,
uno - SP,2024-09-09 19:10:30,48.734336,48.734336,
uno - SP,2024-09-09 19:10:30,46.3904,46.3904,
uno - SP,2024-09-09 19:10:30,45.90208,45.90208,
uno - SP,2024-09-09 19:10:31,46.781056,46.781056,
uno - SP,2024-09-09 19:10:31,45.90208,45.90208,
uno - SP,2024-09-09 19:10:31,49.906304,49.906304,
uno - SP,2024-09-09 19:10:31,49.027328,49.027328,
uno - SP,2024-09-09 19:10:32,46.488064,46.488064,
uno - SP,2024-09-09 19:10:32,49.124992,49.124992,
uno - SP,2024-09-09 19:10:32,46.292736,46.292736,
uno - SP,2024-09-09 19:10:32,45.999744,45.999744,
uno - SP,2024-09-09 19:10:33,46.3904,46.3904,
uno - SP,2024-09-09 19:10:33,46.195072,46.195072,
uno - SP,2024-09-09 19:10:33,46.097408,46.097408,
uno - SP,2024-09-09 19:10:33,50.003968,50.003968,
uno - SP,2024-09-09 19:10:34,50.199296,50.199296,
uno - SP,2024-09-09 19:10:34,49.417984,49.417984,
uno - SP,2024-09-09 19:10:34,46.292736,46.292736,
uno - SP,2024-09-09 19:10:34,48.34368,48.34368,
uno - SP,2024-09-09 19:10:34,46.097408,46.097408,
uno - SP,2024-09-09 19:10:35,50.394624,50.394624,
uno - SP,2024-09-09 19:10:35,48.539008,48.539008,
uno - SP,2024-09-09 19:10:35,46.683392,46.683392,
uno - SP,2024-09-09 19:10:35,45.90208,45.90208,
uno - SP,2024-09-09 19:10:35,47.074048,47.074048,
uno - SP,2024-09-09 19:10:36,50.003968,50.003968,
uno - SP,2024-09-09 19:10:36,50.199296,50.199296,
uno - SP,2024-09-09 19:10:36,49.417984,49.417984,
uno - SP,2024-09-09 19:10:36,46.488064,46.488064,
uno - SP,2024-09-09 19:10:36,50.394624,50.394624,
uno - SP,2024-09-09 19:10:37,46.195072,46.195072,
uno - SP,2024-09-09 19:10:37,46.292736,46.292736,
uno - SP,2024-09-09 19:10:37,45.999744,45.999744,
uno - SP,2024-09-09 19:10:37,47.269376,47.269376,
uno - SP,2024-09-09 19:10:37,49.515648,49.515648,
uno - SP,2024-09-09 19:10:38,50.101632,50.101632,
uno - SP,2024-09-09 19:10:38,45.90208,45.90208,
uno - SP,2024-09-09 19:10:38,48.34368,48.34368,
uno - SP,2024-09-09 19:10:38,46.097408,46.097408,
uno - SP,2024-09-09 19:10:39,45.999744,45.999744,
uno - SP,2024-09-09 19:10:39,49.222656,49.222656,
uno - SP,2024-09-09 19:10:39,46.097408,46.097408,
uno - SP,2024-09-09 19:10:39,46.292736,46.292736,
uno - SP,2024-09-09 19:10:40,46.87872,46.87872,
uno - SP,2024-09-09 19:10:40,49.710976,49.710976,
uno - SP,2024-09-09 19:10:40,45.90208,45.90208,
uno - SP,2024-09-09 19:10:40,46.195072,46.195072,
uno - SP,2024-09-09 19:10:40,49.613312,49.613312,
uno - SP,2024-09-09 19:10:41,46.585728,46.585728,
uno - SP,2024-09-09 19:10:41,46.097408,46.097408,
uno - SP,2024-09-09 19:10:41,49.124992,49.124992,
